nodes,ppm,topo,seed,mask,prr,delay_ms,nlt_ms,gen,recv
60,80,01,1,etx,0.571647,2502.90,453930,122504,70029
60,80,02,1,etx,0.638077,2453.34,348074,104782,66859
60,80,03,1,etx,0.329217,2707.15,575119,60735,19995
60,80,04,1,etx,0.693835,2595.12,542321,106312,73763
60,80,05,1,etx,0.775862,2101.88,290609,96329,74738
60,80,06,1,etx,0.518831,2303.10,461543,86747,45007
60,80,07,1,etx,0.610571,2664.25,738744,130622,79754
60,80,08,1,etx,0.397602,2212.73,372892,83415,33166
60,80,09,1,etx,0.690795,2886.78,553871,116127,80220
60,80,10,1,etx,0.702829,1916.78,410064,107396,75481
60,100,01,1,etx,0.545112,2776.53,339068,125356,68333
60,100,02,1,etx,0.684158,2541.56,249410,124084,84893
60,100,03,1,etx,0.407641,2642.19,531984,71666,29214
60,100,04,1,etx,0.609977,3017.22,652984,131582,80262
60,100,05,1,etx,0.654139,2567.58,444787,115234,75379
60,100,06,1,etx,0.500900,1970.32,476311,85518,42836
60,100,07,1,etx,0.575804,2931.02,609530,140956,81163
60,100,08,1,etx,0.459011,2275.56,433909,101686,46675
60,100,09,1,etx,0.714229,3120.20,466091,135829,97013
60,100,10,1,etx,0.657963,2353.95,477947,118917,78243
60,120,01,1,etx,0.508518,3004.12,597666,156836,79754
60,120,02,1,etx,0.658295,2660.14,336250,129685,85371
60,120,03,1,etx,0.302071,2812.90,327605,66650,20133
60,120,04,1,etx,0.621625,3571.80,443261,141357,87871
60,120,05,1,etx,0.647807,2872.44,513982,140880,91263
60,120,06,1,etx,0.526649,2875.07,470539,108896,57350
60,120,07,1,etx,0.641242,2947.37,539672,138380,88735
60,120,08,1,etx,0.369412,2568.59,737781,110186,40704
60,120,09,1,etx,0.672375,2793.97,335579,147690,99303
60,120,10,1,etx,0.640638,2652.95,460626,128525,82338
80,80,01,1,etx,0.466888,2709.39,819839,149072,69600
80,80,02,1,etx,0.608494,2976.18,657711,146483,89134
80,80,03,1,etx,0.489165,2206.77,517697,115186,56345
80,80,04,1,etx,0.455943,2895.71,810871,139026,63388
80,80,05,1,etx,0.623117,2789.38,407021,153042,95363
80,80,06,1,etx,0.468807,2270.57,732487,118087,55360
80,80,07,1,etx,0.563394,2449.08,759101,156347,88085
80,80,08,1,etx,0.416427,2421.65,870410,130323,54270
80,80,09,1,etx,0.608300,3251.29,729803,149561,90978
80,80,10,1,etx,0.577609,3124.78,763168,159724,92258
80,100,01,1,etx,0.500939,2908.63,430937,161858,81081
80,100,02,1,etx,0.583230,2953.49,441755,148036,86339
80,100,03,1,etx,0.366933,2748.52,895941,126369,46369
80,100,04,1,etx,0.484943,3176.97,714291,149964,72724
80,100,05,1,etx,0.495378,2842.19,629060,160225,79372
80,100,06,1,etx,0.461366,2708.37,524484,110498,50980
80,100,07,1,etx,0.571777,2568.90,1135499,173267,99070
80,100,08,1,etx,0.437480,2102.33,888346,127704,55868
80,100,09,1,etx,0.573382,3158.03,684388,171507,98339
80,100,10,1,etx,0.588012,2615.39,901469,165461,97293
80,120,01,1,etx,0.441764,3012.46,822791,164271,72569
80,120,02,1,etx,0.568510,3319.95,538896,183353,104238
80,120,03,1,etx,0.407827,2424.52,898182,128736,52502
80,120,04,1,etx,0.450449,2783.44,583384,171469,77238
80,120,05,1,etx,0.493016,3278.23,502932,174120,85844
80,120,06,1,etx,0.405884,2654.17,651419,108388,43993
80,120,07,1,etx,0.484143,3178.96,724268,176733,85564
80,120,08,1,etx,0.285024,2704.34,807949,113671,32399
80,120,09,1,etx,0.518689,3300.97,869864,174733,90632
80,120,10,1,etx,0.552465,3498.47,827821,185371,102411
100,80,01,1,etx,0.419738,2486.94,1149297,167178,70171
100,80,02,1,etx,0.372879,2476.20,632541,140764,52488
100,80,03,1,etx,0.332401,2726.27,1074775,150821,50133
100,80,04,1,etx,0.373943,3063.04,766989,170082,63601
100,80,05,1,etx,0.425108,3614.60,815838,203120,86348
100,80,06,1,etx,0.403921,1826.29,784924,125007,50493
100,80,07,1,etx,0.403258,2266.13,979941,167136,67399
100,80,08,1,etx,0.318704,2478.00,722746,142546,45430
100,80,09,1,etx,0.360818,2987.38,684230,164310,59286
100,80,10,1,etx,0.485825,1964.17,833281,176259,85631
100,100,01,1,etx,0.363203,3459.20,836407,211879,76955
100,100,02,1,etx,0.516410,3045.64,750981,201253,103929
100,100,03,1,etx,0.289815,2593.13,779980,125004,36228
100,100,04,1,etx,0.364571,2715.82,1210883,154730,56410
100,100,05,1,etx,0.410108,2968.63,578317,209006,85715
100,100,06,1,etx,0.288451,2662.98,236394,113482,32734
100,100,07,1,etx,0.426739,2716.26,821444,186634,79644
100,100,08,1,etx,0.232894,2246.53,818833,141124,32867
100,100,09,1,etx,0.405502,3644.14,799180,197528,80098
100,100,10,1,etx,0.438520,2955.98,635883,206360,90493
100,120,01,1,etx,0.391765,2934.48,997402,231192,90573
100,120,02,1,etx,0.501146,3241.98,492854,218994,109748
100,120,03,1,etx,0.304576,2957.49,951076,173441,52826
100,120,04,1,etx,0.356408,3201.71,930070,185585,66144
100,120,05,1,etx,0.341254,2947.67,1200741,225621,76994
100,120,06,1,etx,0.352287,1891.55,676784,95005,33469
100,120,07,1,etx,0.406566,2519.84,754687,201596,81962
100,120,08,1,etx,0.281176,2376.06,1137106,163001,45832
100,120,09,1,etx,0.416019,2922.67,920894,243578,101333
100,120,10,1,etx,0.445682,2763.92,660731,221880,98888
60,80,01,1,etx_re_qlr_hc,0.602129,2403.20,453930,114439,68907
60,80,02,1,etx_re_qlr_hc,0.677893,2438.92,348074,101848,69042
60,80,03,1,etx_re_qlr_hc,0.365381,2509.58,575119,66016,24121
60,80,04,1,etx_re_qlr_hc,0.686804,2394.76,542321,110295,75751
60,80,05,1,etx_re_qlr_hc,0.782889,2051.90,290609,95555,74809
60,80,06,1,etx_re_qlr_hc,0.532417,2342.98,461543,99499,52975
60,80,07,1,etx_re_qlr_hc,0.628117,2668.53,738744,132047,82941
60,80,08,1,etx_re_qlr_hc,0.420704,2235.76,372892,85830,36109
60,80,09,1,etx_re_qlr_hc,0.712173,2442.07,553871,117536,83706
