nodes,ppm,topo,seed,mask,prr,delay_ms,nlt_ms,gen,recv
60,80,01,1,re_qo_hc,0.602169,2403.20,453930,114506,68952
60,80,02,1,re_qo_hc,0.682560,2397.10,348074,102243,69787
60,80,03,1,re_qo_hc,0.352653,2750.37,575119,67840,23924
60,80,04,1,re_qo_hc,0.688040,2380.36,542321,109546,75372
60,80,05,1,re_qo_hc,0.788170,2058.59,290609,96398,75978
60,80,06,1,re_qo_hc,0.528438,2464.92,461543,99058,52346
60,80,07,1,re_qo_hc,0.623038,2656.61,738744,133223,83003
60,80,08,1,re_qo_hc,0.416654,2223.39,372892,88937,37056
60,80,09,1,re_qo_hc,0.711652,2442.00,553871,117320,83491
60,80,10,1,re_qo_hc,0.722012,1849.83,410064,102803,74225
60,100,01,1,re_qo_hc,0.539971,2777.64,339068,124390,67167
60,100,02,1,re_qo_hc,0.710660,2576.32,249410,120412,85572
60,100,03,1,re_qo_hc,0.395969,2303.80,531984,74319,29428
60,100,04,1,re_qo_hc,0.616861,3001.71,652984,132649,81826
60,100,05,1,re_qo_hc,0.670711,2566.73,444787,114808,77003
60,100,06,1,re_qo_hc,0.487373,1906.58,476311,83236,40567
60,100,07,1,re_qo_hc,0.594096,2849.95,609530,133290,79187
60,100,08,1,re_qo_hc,0.467195,2117.29,433909,100671,47033
60,100,09,1,re_qo_hc,0.710470,2552.58,466091,139032,98778
60,100,10,1,re_qo_hc,0.687654,2330.71,477947,114626,78823
60,120,01,1,re_qo_hc,0.556577,2596.80,597666,150671,83860
60,120,02,1,re_qo_hc,0.646647,2761.71,336250,132717,85821
60,120,03,1,re_qo_hc,0.332679,2460.84,327605,70326,23396
60,120,04,1,re_qo_hc,0.621654,3571.85,443261,141376,87887
60,120,05,1,re_qo_hc,0.614760,2797.46,513982,142789,87781
60,120,06,1,re_qo_hc,0.556473,2431.56,470539,106954,59517
60,120,07,1,re_qo_hc,0.608635,2818.34,539672,137718,83820
60,120,08,1,re_qo_hc,0.324184,2735.98,737781,106310,34464
60,120,09,1,re_qo_hc,0.718881,2624.41,335579,153369,110254
60,120,10,1,re_qo_hc,0.623269,2305.86,460626,127051,79187
80,80,01,1,re_qo_hc,0.502921,2853.13,819839,151167,76025
80,80,02,1,re_qo_hc,0.584602,3017.96,657711,151775,88728
80,80,03,1,re_qo_hc,0.423067,2170.70,517697,108250,45797
80,80,04,1,re_qo_hc,0.502105,2704.00,810871,148423,74524
80,80,05,1,re_qo_hc,0.644378,2520.92,407021,158992,102451
80,80,06,1,re_qo_hc,0.418387,2460.04,732487,113940,47671
80,80,07,1,re_qo_hc,0.543337,2463.29,759101,155215,84334
80,80,08,1,re_qo_hc,0.344851,2411.32,870410,111596,38484
80,80,09,1,re_qo_hc,0.608498,2765.97,729803,155841,94829
80,80,10,1,re_qo_hc,0.586849,2659.48,763168,153871,90299
80,100,01,1,re_qo_hc,0.497092,2464.67,430937,165036,82038
80,100,02,1,re_qo_hc,0.598319,2409.42,441755,156450,93607
80,100,03,1,re_qo_hc,0.416302,2682.70,893039,122339,50930
80,100,04,1,re_qo_hc,0.470512,2942.70,714291,159097,74857
80,100,05,1,re_qo_hc,0.531784,3095.68,629060,170729,90791
80,100,06,1,re_qo_hc,0.526586,2512.56,524484,130746,68849
80,100,07,1,re_qo_hc,0.572202,2604.46,1135499,172876,98920
80,100,08,1,re_qo_hc,0.389169,2283.41,888346,123129,47918
80,100,09,1,re_qo_hc,0.580685,3020.37,684388,171780,99750
80,100,10,1,re_qo_hc,0.602855,2603.68,901469,155918,93996
80,120,01,1,re_qo_hc,0.421856,2773.95,822791,157805,66571
80,120,02,1,re_qo_hc,0.577796,3233.24,538896,178127,102921
80,120,03,1,re_qo_hc,0.453456,2462.83,872064,129190,58582
80,120,04,1,re_qo_hc,0.423515,3408.05,583384,148389,62845
80,120,05,1,re_qo_hc,0.510572,2987.51,502932,188042,96009
80,120,06,1,re_qo_hc,0.297431,2779.05,579111,95444,28388
80,120,07,1,re_qo_hc,0.508699,3475.84,724268,183997,93599
80,120,08,1,re_qo_hc,0.359114,2291.67,846385,128625,46191
80,120,09,1,re_qo_hc,0.555696,3478.15,869864,191011,106144
