nodes,ppm,topo,seed,mask,prr,delay_ms,nlt_ms,gen,recv
60,80,01,1,etx_re_qo_hc,0.602169,2403.20,453930,114506,68952
60,80,02,1,etx_re_qo_hc,0.674145,2444.90,348074,103638,69867
60,80,03,1,etx_re_qo_hc,0.327211,2763.83,575119,63207,20682
60,80,04,1,etx_re_qo_hc,0.686804,2394.76,542321,110295,75751
60,80,05,1,etx_re_qo_hc,0.785265,2079.75,290609,94698,74363
60,80,06,1,etx_re_qo_hc,0.528514,2448.78,461543,99127,52390
60,80,07,1,etx_re_qo_hc,0.628117,2668.53,738744,132047,82941
60,80,08,1,etx_re_qo_hc,0.420704,2235.76,372892,85830,36109
60,80,09,1,etx_re_qo_hc,0.712173,2442.07,553871,117536,83706
60,80,10,1,etx_re_qo_hc,0.722012,1849.83,410064,102803,74225
60,100,01,1,etx_re_qo_hc,0.539971,2777.64,339068,124390,67167
60,100,02,1,etx_re_qo_hc,0.710988,2576.22,249410,120552,85711
60,100,03,1,etx_re_qo_hc,0.429016,2309.73,531984,77778,33368
60,100,04,1,etx_re_qo_hc,0.616861,3001.71,652984,132649,81826
60,100,05,1,etx_re_qo_hc,0.678873,2566.75,444787,113248,76881
60,100,06,1,etx_re_qo_hc,0.473799,1997.22,476311,90150,42713
60,100,07,1,etx_re_qo_hc,0.598076,2846.42,609530,134697,80559
60,100,08,1,etx_re_qo_hc,0.472516,2088.02,433909,100877,47666
60,100,09,1,etx_re_qo_hc,0.721495,2714.75,466091,135513,97772
60,100,10,1,etx_re_qo_hc,0.690915,2325.27,477947,115059,79496
60,120,01,1,etx_re_qo_hc,0.553517,2627.81,597666,150234,83157
60,120,02,1,etx_re_qo_hc,0.646330,2761.76,336250,132632,85724
60,120,03,1,etx_re_qo_hc,0.291549,2776.07,327605,64291,18744
60,120,04,1,etx_re_qo_hc,0.621625,3571.80,443261,141357,87871
60,120,05,1,etx_re_qo_hc,0.655125,2936.00,513982,133202,87264
60,120,06,1,etx_re_qo_hc,0.556473,2431.56,470539,106954,59517
60,120,07,1,etx_re_qo_hc,0.617701,2871.46,539672,139153,85955
60,120,08,1,etx_re_qo_hc,0.326920,2754.83,737781,108152,35357
60,120,09,1,etx_re_qo_hc,0.718698,2602.86,335579,153529,110341
60,120,10,1,etx_re_qo_hc,0.633894,2302.20,460626,130544,82751
80,80,01,1,etx_re_qo_hc,0.490762,2470.20,819839,147650,72461
80,80,02,1,etx_re_qo_hc,0.578990,3028.51,657711,147398,85342
80,80,03,1,etx_re_qo_hc,0.445657,2217.95,517697,116206,51788
80,80,04,1,etx_re_qo_hc,0.491714,2631.68,810871,146158,71868
80,80,05,1,etx_re_qo_hc,0.644154,2386.10,407021,156975,101116
80,80,06,1,etx_re_qo_hc,0.431735,2412.94,732487,111749,48246
80,80,07,1,etx_re_qo_hc,0.530221,2558.51,759101,156893,83188
80,80,08,1,etx_re_qo_hc,0.363838,2366.58,870410,122810,44683
80,80,09,1,etx_re_qo_hc,0.623296,2555.29,729803,156749,97701
80,80,10,1,etx_re_qo_hc,0.589704,2851.97,763168,153277,90388
80,100,01,1,etx_re_qo_hc,0.504315,2632.94,430937,167217,84330
80,100,02,1,etx_re_qo_hc,0.603213,2446.64,441755,154932,93457
80,100,03,1,etx_re_qo_hc,0.395185,2792.13,893039,126718,50077
80,100,04,1,etx_re_qo_hc,0.457602,3278.16,714291,150253,68756
80,100,05,1,etx_re_qo_hc,0.519219,2717.10,629060,169235,87870
80,100,06,1,etx_re_qo_hc,0.518868,2382.90,524484,126194,65478
80,100,07,1,etx_re_qo_hc,0.576347,2420.14,1135499,174754,100719
80,100,08,1,etx_re_qo_hc,0.437480,2102.33,888346,127704,55868
80,100,09,1,etx_re_qo_hc,0.594284,3127.65,684388,170257,101181
80,100,10,1,etx_re_qo_hc,0.602855,2603.68,901469,155918,93996
80,120,01,1,etx_re_qo_hc,0.428179,2796.44,822791,159501,68295
80,120,02,1,etx_re_qo_hc,0.541787,3605.86,538896,182511,98882
80,120,03,1,etx_re_qo_hc,0.444877,2402.45,872064,128168,57019
80,120,04,1,etx_re_qo_hc,0.365605,3357.37,583384,143335,52404
80,120,05,1,etx_re_qo_hc,0.507925,3041.56,502932,186051,94500
80,120,06,1,etx_re_qo_hc,0.321917,2739.08,579111,96904,31195
80,120,07,1,etx_re_qo_hc,0.504791,2924.81,724268,185752,93766
80,120,08,1,etx_re_qo_hc,0.308485,2440.58,846385,119539,36876
80,120,09,1,etx_re_qo_hc,0.551171,3553.11,869864,188584,103942
80,120,10,1,etx_re_qo_hc,0.523088,2371.72,827821,187846,98260
100,80,01,1,etx_re_qo_hc,0.444690,2141.84,1149297,179273,79721
100,80,02,1,etx_re_qo_hc,0.392750,2431.33,632541,145067,56975
100,80,03,1,etx_re_qo_hc,0.283669,2550.00,1074775,126644,35925
100,80,04,1,etx_re_qo_hc,0.441972,2367.61,766989,164594,72746
100,80,05,1,etx_re_qo_hc,0.431899,3284.75,815838,194969,84207
100,80,06,1,etx_re_qo_hc,0.411099,2118.34,784924,124549,51202
100,80,07,1,etx_re_qo_hc,0.377300,2349.69,1182853,156716,59129
100,80,08,1,etx_re_qo_hc,0.266251,2081.96,722746,108364,28852
100,80,09,1,etx_re_qo_hc,0.391414,2593.22,684230,176353,69027
100,80,10,1,etx_re_qo_hc,0.469094,2262.48,833281,179333,84124
100,100,01,1,etx_re_qo_hc,0.370368,2738.02,836407,196669,72840
100,100,02,1,etx_re_qo_hc,0.504770,2972.46,750981,208612,105301
100,100,03,1,etx_re_qo_hc,0.274708,2397.61,914908,126884,34856
100,100,04,1,etx_re_qo_hc,0.395453,2446.32,1366256,187623,74196
100,100,05,1,etx_re_qo_hc,0.371588,3235.56,578317,216490,80445
100,100,06,1,etx_re_qo_hc,0.376391,2178.38,236394,118770,44704
100,100,07,1,etx_re_qo_hc,0.425440,2648.36,821444,185192,78788
100,100,08,1,etx_re_qo_hc,0.292603,2421.74,840790,152288,44560
100,100,09,1,etx_re_qo_hc,0.397081,3252.52,799180,193434,76809
100,100,10,1,etx_re_qo_hc,0.423385,2551.56,635883,208340,88208
100,120,01,1,etx_re_qo_hc,0.421833,3065.13,997402,212295,89553
100,120,02,1,etx_re_qo_hc,0.479639,2735.00,492854,209293,100385
100,120,03,1,etx_re_qo_hc,0.334633,3019.82,934053,217029,72625
100,120,04,1,etx_re_qo_hc,0.369217,2946.27,924276,222184,82034
100,120,05,1,etx_re_qo_hc,0.344953,2976.45,1276687,243804,84101
100,120,06,1,etx_re_qo_hc,0.205606,2432.01,676784,94657,19462
100,120,07,1,etx_re_qo_hc,0.431249,2650.53,754687,203778,87879
100,120,08,1,etx_re_qo_hc,0.244028,2291.41,824787,138820,33876
100,120,09,1,etx_re_qo_hc,0.427128,3604.94,920894,241630,103207
100,120,10,1,etx_re_qo_hc,0.442321,2813.71,660731,215470,95307
60,80,01,1,rssi_re_qo_hc,0.602169,2403.20,453930,114506,68952
60,80,02,1,rssi_re_qo_hc,0.683874,2397.14,348074,102494,70093
60,80,03,1,rssi_re_qo_hc,0.365512,2509.58,575119,66028,24134
60,80,04,1,rssi_re_qo_hc,0.686804,2394.76,542321,110295,75751
60,80,05,1,rssi_re_qo_hc,0.785217,2079.75,290609,94728,74382
60,80,06,1,rssi_re_qo_hc,0.530332,2456.34,461543,99498,52767
60,80,07,1,rssi_re_qo_hc,0.628117,2668.53,738744,132047,82941
60,80,08,1,rssi_re_qo_hc,0.419492,2233.68,372892,86066,36104
60,80,09,1,rssi_re_qo_hc,0.712173,2442.07,553871,117536,83706
60,80,10,1,rssi_re_qo_hc,0.722012,1849.83,410064,102803,74225
60,100,01,1,rssi_re_qo_hc,0.539488,2777.68,339068,124277,67046
60,100,02,1,rssi_re_qo_hc,0.711039,2576.31,249410,120594,85747
60,100,03,1,rssi_re_qo_hc,0.428992,2309.73,531984,77773,33364
60,100,04,1,rssi_re_qo_hc,0.616861,3001.71,652984,132649,81826
60,100,05,1,rssi_re_qo_hc,0.678873,2566.75,444787,113248,76881
60,100,06,1,rssi_re_qo_hc,0.506013,1866.08,476311,93296,47209
60,100,07,1,rssi_re_qo_hc,0.592545,2806.17,609530,133838,79305
60,100,08,1,rssi_re_qo_hc,0.472516,2088.02,433909,100877,47666
60,100,09,1,rssi_re_qo_hc,0.725570,2644.08,466091,135798,98531
60,100,10,1,rssi_re_qo_hc,0.687654,2330.71,477947,114626,78823
60,120,01,1,rssi_re_qo_hc,0.551440,2667.07,597666,148805,82057
60,120,02,1,rssi_re_qo_hc,0.646330,2761.76,336250,132632,85724
60,120,03,1,rssi_re_qo_hc,0.287039,2640.31,327605,63068,18103
60,120,04,1,rssi_re_qo_hc,0.621625,3571.80,443261,141357,87871
60,120,05,1,rssi_re_qo_hc,0.656267,2935.62,513982,133723,87758
60,120,06,1,rssi_re_qo_hc,0.556473,2431.56,470539,106954,59517
60,120,07,1,rssi_re_qo_hc,0.617701,2871.46,539672,139153,85955
60,120,08,1,rssi_re_qo_hc,0.281645,2900.49,737781,103435,29132
60,120,09,1,rssi_re_qo_hc,0.719876,2624.29,335579,153846,110750
60,120,10,1,rssi_re_qo_hc,0.627732,2303.61,460626,128480,80651
80,80,01,1,rssi_re_qo_hc,0.508196,2576.41,819839,145188,73784
80,80,02,1,rssi_re_qo_hc,0.588708,2713.33,657711,154068,90701
80,80,03,1,rssi_re_qo_hc,0.441046,2247.33,517697,114759,50614
80,80,04,1,rssi_re_qo_hc,0.499172,2762.13,810871,147278,73517
80,80,05,1,rssi_re_qo_hc,0.644154,2386.10,407021,156975,101116
