nodes,ppm,topo,seed,mask,prr,delay_ms,nlt_ms,gen,recv
60,80,01,1,etx-pfi-re-qo-hc__1011011,0.602169,2403.20,453930,114506,68952
60,80,02,1,etx-pfi-re-qo-hc__1011011,0.681117,2428.14,348074,102423,69762
60,80,03,1,etx-pfi-re-qo-hc__1011011,0.363134,2580.41,575119,67504,24513
60,80,04,1,etx-pfi-re-qo-hc__1011011,0.686804,2394.76,542321,110295,75751
60,80,05,1,etx-pfi-re-qo-hc__1011011,0.785265,2079.75,290609,94698,74363
60,80,06,1,etx-pfi-re-qo-hc__1011011,0.521530,2431.66,461543,98004,51112
60,80,07,1,etx-pfi-re-qo-hc__1011011,0.628117,2668.53,738744,132047,82941
60,80,08,1,etx-pfi-re-qo-hc__1011011,0.391548,2305.90,372892,84314,33013
60,80,09,1,etx-pfi-re-qo-hc__1011011,0.712173,2442.07,553871,117536,83706
60,80,10,1,etx-pfi-re-qo-hc__1011011,0.722012,1849.83,410064,102803,74225
60,100,01,1,etx-pfi-re-qo-hc__1011011,0.539971,2777.64,339068,124390,67167
60,100,02,1,etx-pfi-re-qo-hc__1011011,0.711770,2576.19,249410,120879,86038
60,100,03,1,etx-pfi-re-qo-hc__1011011,0.429016,2309.73,531984,77778,33368
60,100,04,1,etx-pfi-re-qo-hc__1011011,0.616861,3001.71,652984,132649,81826
60,100,05,1,etx-pfi-re-qo-hc__1011011,0.678873,2566.75,444787,113248,76881
60,100,06,1,etx-pfi-re-qo-hc__1011011,0.506013,1866.08,476311,93296,47209
60,100,07,1,etx-pfi-re-qo-hc__1011011,0.594295,2801.63,609530,133893,79572
60,100,08,1,etx-pfi-re-qo-hc__1011011,0.472516,2088.02,433909,100877,47666
60,100,09,1,etx-pfi-re-qo-hc__1011011,0.725910,2609.07,466091,136302,98943
60,100,10,1,etx-pfi-re-qo-hc__1011011,0.687654,2330.71,477947,114626,78823
60,120,01,1,etx-pfi-re-qo-hc__1011011,0.560449,2504.27,597666,152740,85603
60,120,02,1,etx-pfi-re-qo-hc__1011011,0.646330,2761.76,336250,132632,85724
60,120,03,1,etx-pfi-re-qo-hc__1011011,0.303453,2473.05,327605,67994,20633
60,120,04,1,etx-pfi-re-qo-hc__1011011,0.621625,3571.80,443261,141357,87871
60,120,05,1,etx-pfi-re-qo-hc__1011011,0.655125,2936.00,513982,133202,87264
60,120,06,1,etx-pfi-re-qo-hc__1011011,0.556473,2431.56,470539,106954,59517
60,120,07,1,etx-pfi-re-qo-hc__1011011,0.617701,2871.46,539672,139153,85955
60,120,08,1,etx-pfi-re-qo-hc__1011011,0.326920,2754.83,737781,108152,35357
60,120,09,1,etx-pfi-re-qo-hc__1011011,0.719824,2624.27,335579,153814,110719
60,120,10,1,etx-pfi-re-qo-hc__1011011,0.633814,2302.25,460626,130513,82721
80,80,01,1,etx-pfi-re-qo-hc__1011011,0.519914,2491.39,819839,141885,73768
80,80,02,1,etx-pfi-re-qo-hc__1011011,0.614505,2938.73,657711,146295,89899
80,80,03,1,etx-pfi-re-qo-hc__1011011,0.441416,2204.66,517697,103698,45774
80,80,04,1,etx-pfi-re-qo-hc__1011011,0.484361,2914.14,810871,142241,68896
80,80,05,1,etx-pfi-re-qo-hc__1011011,0.637463,2365.63,407021,157322,100287
80,80,06,1,etx-pfi-re-qo-hc__1011011,0.438114,2212.82,724240,102843,45057
80,80,07,1,etx-pfi-re-qo-hc__1011011,0.531593,2396.10,759101,157062,83493
80,80,08,1,etx-pfi-re-qo-hc__1011011,0.363838,2366.58,870410,122810,44683
80,80,09,1,etx-pfi-re-qo-hc__1011011,0.619776,2499.19,729803,155169,96170
80,80,10,1,etx-pfi-re-qo-hc__1011011,0.589704,2851.97,763168,153277,90388
80,100,01,1,etx-pfi-re-qo-hc__1011011,0.504315,2632.94,430937,167217,84330
80,100,02,1,etx-pfi-re-qo-hc__1011011,0.602524,2423.61,441755,154198,92908
80,100,03,1,etx-pfi-re-qo-hc__1011011,0.373232,2814.01,893039,116169,43358
80,100,04,1,etx-pfi-re-qo-hc__1011011,0.457602,3278.16,714291,150253,68756
80,100,05,1,etx-pfi-re-qo-hc__1011011,0.525508,2783.56,629060,163516,85929
80,100,06,1,etx-pfi-re-qo-hc__1011011,0.531271,2428.59,524484,132390,70335
