generation,idx,fitness,mask_id,mask_label,bits,selected_features,prr_mean,nlt_mean,delay_mean,found_scenarios,expected_scenarios,missing_fraction,from_cache
1,0,0.60935965,re-bdi-qo__0001110,re-bdi-qo,0001110,"re,bdi,qo",0.37131632034350304,851998.4,2716.2494089834518,1,1,0.0,0
1,1,0.60800620,etx-pfi-re-qo-hc__1011011,etx-pfi-re-qo-hc,1011011,"etx,pfi,re,qo,hc",0.3678433032117953,846315.5,2746.040476190476,1,1,0.0,0
1,2,0.60606778,pfi-bdi__0010100,pfi-bdi,0010100,"pfi,bdi",0.3687017210093685,808972.4,2890.122619047619,1,1,0.0,0
1,3,0.60532733,qo__0000010,qo,0000010,qo,0.360450693374421,806240.5,2799.2019002375296,1,1,0.0,0
1,4,0.60391526,rssi-bdi-qo-hc__0100111,rssi-bdi-qo-hc,0100111,"rssi,bdi,qo,hc",0.3640798228015323,846315.5,2964.5978520286394,1,1,0.0,0
1,5,0.60209327,rssi-bdi__0100100,rssi-bdi,0100100,"rssi,bdi",0.35310694415933896,865430.2,2895.594755661502,1,1,0.0,0
1,6,0.60057867,pfi-bdi-hc__0010101,pfi-bdi-hc,0010101,"pfi,bdi,hc",0.3548943658483294,822520.2,3048.704761904762,1,1,0.0,0
1,7,0.59814465,etx-bdi-qo__1000110,etx-bdi-qo,1000110,"etx,bdi,qo",0.3404376002301102,862485.3,2953.8038049940546,1,1,0.0,0
2,0,0.60935965,re-bdi-qo__0001110,re-bdi-qo,0001110,"re,bdi,qo",0.37131632034350304,851998.4,2716.2494089834518,1,1,0.0,1
2,1,0.60800620,etx-pfi-re-qo-hc__1011011,etx-pfi-re-qo-hc,1011011,"etx,pfi,re,qo,hc",0.3678433032117953,846315.5,2746.040476190476,1,1,0.0,1
2,2,0.60800620,etx-pfi-re-qo-hc__1011011,etx-pfi-re-qo-hc,1011011,"etx,pfi,re,qo,hc",0.3678433032117953,846315.5,2746.040476190476,1,1,0.0,1
2,3,0.60778890,etx-pfi-re-hc__1011001,etx-pfi-re-hc,1011001,"etx,pfi,re,hc",0.37283827062485925,846315.5,2841.856123662307,1,1,0.0,0
2,4,0.60734257,rssi-re-qo__0101010,rssi-re-qo,0101010,"rssi,re,qo",0.3707976167047448,870526.6,2837.487514863258,1,1,0.0,0
2,5,0.60164803,bdi-qo-hc__0000111,bdi-qo-hc,0000111,"bdi,qo,hc",0.355904432400696,798567.7,2982.072532699168,1,1,0.0,0
2,6,0.60128144,bdi-qo__0000110,bdi-qo,0000110,"bdi,qo",0.3586116514204167,797672.9,3068.0,1,1,0.0,0
2,7,0.59814842,pfi-bdi-qo-hc__0010111,pfi-bdi-qo-hc,0010111,"pfi,bdi,qo,hc",0.3443031507943397,888586.6,3030.519526627219,1,1,0.0,0
3,0,0.61061639,re-qo-hc__0001011,re-qo-hc,0001011,"re,qo,hc",0.37794718720736403,870521.5,2740.8052256532064,1,1,0.0,0
3,1,0.60935965,re-bdi-qo__0001110,re-bdi-qo,0001110,"re,bdi,qo",0.37131632034350304,851998.4,2716.2494089834518,1,1,0.0,1
3,2,0.60935965,re-bdi-qo__0001110,re-bdi-qo,0001110,"re,bdi,qo",0.37131632034350304,851998.4,2716.2494089834518,1,1,0.0,1
3,3,0.60862309,etx-pfi-re-qo__1011010,etx-pfi-re-qo,1011010,"etx,pfi,re,qo",0.37432446867751107,872287.9,2810.6163895486934,1,1,0.0,0
3,4,0.60761358,etx-re-bdi-qo__1001110,etx-re-bdi-qo,1001110,"etx,re,bdi,qo",0.3683529336558414,846315.5,2778.986904761905,1,1,0.0,0
3,5,0.60555006,etx-pfi-qo__1010010,etx-pfi-qo,1010010,"etx,pfi,qo",0.3576507144520389,846315.5,2740.3226571767495,1,1,0.0,0
3,6,0.60339915,re-bdi-hc__0001101,re-bdi-hc,0001101,"re,bdi,hc",0.3634716551427351,846315.5,2993.2363420427555,1,1,0.0,0
3,7,0.60339915,re-bdi-hc__0001101,re-bdi-hc,0001101,"re,bdi,hc",0.3634716551427351,846315.5,2993.2363420427555,1,1,0.0,0
4,0,0.61061639,re-qo-hc__0001011,re-qo-hc,0001011,"re,qo,hc",0.37794718720736403,870521.5,2740.8052256532064,1,1,0.0,1
4,1,0.61061639,re-qo-hc__0001011,re-qo-hc,0001011,"re,qo,hc",0.37794718720736403,870521.5,2740.8052256532064,1,1,0.0,1
4,2,0.60935965,re-bdi-qo__0001110,re-bdi-qo,0001110,"re,bdi,qo",0.37131632034350304,851998.4,2716.2494089834518,1,1,0.0,1
4,3,0.60787930,rssi-re-bdi-qo-hc__0101111,rssi-re-bdi-qo-hc,0101111,"rssi,re,bdi,qo,hc",0.37075665421180143,846315.5,2800.814946619217,1,1,0.0,0
4,4,0.60694610,etx-re-qo-hc__1001011,etx-re-qo-hc,1001011,"etx,re,qo,hc",0.37006060896154386,846315.5,2852.0856123662306,1,1,0.0,0
4,5,0.60438434,re-bdi-qo-hc__0001111,re-bdi-qo-hc,0001111,"re,bdi,qo,hc",0.36135010053117783,859227.8,2879.065476190476,1,1,0.0,0
4,6,0.60418906,re-qo__0001010,re-qo,0001010,"re,qo",0.35542770011655045,862597.5,2791.510107015458,1,1,0.0,0
4,7,0.60418906,re-qo__0001010,re-qo,0001010,"re,qo",0.35542770011655045,862597.5,2791.510107015458,1,1,0.0,0
5,0,0.61061639,re-qo-hc__0001011,re-qo-hc,0001011,"re,qo,hc",0.37794718720736403,870521.5,2740.8052256532064,1,1,0.0,1
5,1,0.61061639,re-qo-hc__0001011,re-qo-hc,0001011,"re,qo,hc",0.37794718720736403,870521.5,2740.8052256532064,1,1,0.0,1
5,2,0.60935965,re-bdi-qo__0001110,re-bdi-qo,0001110,"re,bdi,qo",0.37131632034350304,851998.4,2716.2494089834518,1,1,0.0,1
5,3,0.60811361,pfi-re-qo-hc__0011011,pfi-re-qo-hc,0011011,"pfi,re,qo,hc",0.3738130090493079,864677.1,2836.3135391923993,1,1,0.0,0
5,4,0.60761358,etx-re-bdi-qo__1001110,etx-re-bdi-qo,1001110,"etx,re,bdi,qo",0.3683529336558414,846315.5,2778.986904761905,1,1,0.0,1
5,5,0.60438434,re-bdi-qo-hc__0001111,re-bdi-qo-hc,0001111,"re,bdi,qo,hc",0.36135010053117783,859227.8,2879.065476190476,1,1,0.0,1
5,6,0.60418906,re-qo__0001010,re-qo,0001010,"re,qo",0.35542770011655045,862597.5,2791.510107015458,1,1,0.0,1
5,7,0.60339915,re-bdi-hc__0001101,re-bdi-hc,0001101,"re,bdi,hc",0.3634716551427351,846315.5,2993.2363420427555,1,1,0.0,1
