nodes,ppm,topo,seed,mask,prr,delay_ms,nlt_ms,gen,recv
100,120,01,1,etx-pfi-qo__1010010,0.411956,2733.68,997402,216926,89364
100,120,02,1,etx-pfi-qo__1010010,0.476069,2692.67,492854,210497,100211
100,120,03,1,etx-pfi-qo__1010010,0.257862,2656.16,934053,170223,43894
100,120,04,1,etx-pfi-qo__1010010,0.364410,3159.00,924276,213501,77802
100,120,05,1,etx-pfi-qo__1010010,0.348579,3138.89,1276687,251748,87754
100,120,06,1,etx-pfi-qo__1010010,0.230012,2524.68,676784,93408,21485
100,120,07,1,etx-pfi-qo__1010010,0.423834,2558.45,754687,198887,84295
100,120,08,1,etx-pfi-qo__1010010,0.231880,1995.27,824787,140465,32571
100,120,09,1,etx-pfi-qo__1010010,0.415222,3197.71,920894,244257,101421
100,120,10,1,etx-pfi-qo__1010010,0.416683,2762.20,660731,222788,92832
100,120,01,1,etx-pfi-re-qo__1011010,0.421833,3065.13,997402,212295,89553
100,120,02,1,etx-pfi-re-qo__1011010,0.481069,2697.95,492854,209789,100923
100,120,03,1,etx-pfi-re-qo__1011010,0.315865,3138.19,934053,204293,64529
100,120,04,1,etx-pfi-re-qo__1011010,0.373055,2830.98,924276,220906,82410
100,120,05,1,etx-pfi-re-qo__1011010,0.342528,3073.30,1276687,242628,83107
100,120,06,1,etx-pfi-re-qo__1011010,0.255567,2429.08,676784,91972,23505
100,120,07,1,etx-pfi-re-qo__1011010,0.437327,2501.58,754687,207522,90755
100,120,08,1,etx-pfi-re-qo__1011010,0.236107,2246.36,1084511,125871,29719
100,120,09,1,etx-pfi-re-qo__1011010,0.428685,2963.95,920894,246920,105851
100,120,10,1,etx-pfi-re-qo__1011010,0.451208,3178.48,660731,214730,96888
100,120,01,1,etx-re-bdi-qo__1001110,0.421833,3065.13,997402,212295,89553
100,120,02,1,etx-re-bdi-qo__1001110,0.479639,2735.00,492854,209293,100385
100,120,03,1,etx-re-bdi-qo__1001110,0.297987,2871.98,934053,195794,58344
100,120,04,1,etx-re-bdi-qo__1001110,0.355743,3045.40,924276,221359,78747
100,120,05,1,etx-re-bdi-qo__1001110,0.344953,2976.45,1276687,243804,84101
100,120,06,1,etx-re-bdi-qo__1001110,0.188623,2373.99,676784,101589,19162
100,120,07,1,etx-re-bdi-qo__1001110,0.434729,2541.01,754687,209381,91024
100,120,08,1,etx-re-bdi-qo__1001110,0.290082,2073.40,824787,130501,37856
100,120,09,1,etx-re-bdi-qo__1001110,0.429871,3459.06,920894,241705,103902
100,120,10,1,etx-re-bdi-qo__1001110,0.440070,2665.06,660731,216284,95180
100,120,01,1,re-bdi-hc__0001101,0.414470,2856.54,997402,213410,88452
100,120,02,1,re-bdi-hc__0001101,0.500813,2691.31,492854,216464,108408
100,120,03,1,re-bdi-hc__0001101,0.307913,3255.75,934053,206029,63439
100,120,04,1,re-bdi-hc__0001101,0.375855,2961.69,924276,222990,83812
100,120,05,1,re-bdi-hc__0001101,0.353207,3846.79,1276687,247665,87477
100,120,06,1,re-bdi-hc__0001101,0.206131,3096.39,676784,98151,20232
100,120,07,1,re-bdi-hc__0001101,0.420442,2766.75,754687,208409,87624
100,120,08,1,re-bdi-hc__0001101,0.203092,2432.79,824787,126406,25672
100,120,09,1,re-bdi-hc__0001101,0.400980,3024.54,920894,239199,95914
100,120,10,1,re-bdi-hc__0001101,0.451813,3006.05,660731,218046,98516
100,120,01,1,re-qo-hc__0001011,0.394583,2603.38,997402,219366,86558
100,120,02,1,re-qo-hc__0001011,0.474153,2720.45,492854,211164,100124
100,120,03,1,re-qo-hc__0001011,0.282219,2939.84,934053,178893,50487
100,120,04,1,re-qo-hc__0001011,0.402287,3143.51,924276,209122,84127
100,120,05,1,re-qo-hc__0001011,0.378476,3100.77,1276687,248034,93875
100,120,06,1,re-qo-hc__0001011,0.339372,2365.51,676784,123602,41947
100,120,07,1,re-qo-hc__0001011,0.434566,2836.04,754687,208500,90607
100,120,08,1,re-qo-hc__0001011,0.230804,2367.13,1066847,126393,29172
100,120,09,1,re-qo-hc__0001011,0.431666,3231.33,920894,238770,103069
100,120,10,1,re-qo-hc__0001011,0.411347,2134.28,660731,224419,92314
