nodes,ppm,topo,seed,mask,prr,delay_ms,nlt_ms,gen,recv
100,120,01,1,etx-pfi-qo-hc__1010011,0.420999,2962.07,997402,223770,94207
100,120,02,1,etx-pfi-qo-hc__1010011,0.464164,2792.18,492854,203512,94463
100,120,03,1,etx-pfi-qo-hc__1010011,0.278172,3361.64,934053,183764,51118
100,120,04,1,etx-pfi-qo-hc__1010011,0.368339,2879.19,924276,223343,82266
100,120,05,1,etx-pfi-qo-hc__1010011,0.331287,3513.51,1276687,240390,79638
100,120,06,1,etx-pfi-qo-hc__1010011,0.240097,2884.22,676784,97523,23415
100,120,07,1,etx-pfi-qo-hc__1010011,0.408162,2716.25,754687,200102,81674
100,120,08,1,etx-pfi-qo-hc__1010011,0.269494,2212.44,824787,162690,43844
100,120,09,1,etx-pfi-qo-hc__1010011,0.416379,3451.82,920894,235461,98041
100,120,10,1,etx-pfi-qo-hc__1010011,0.408974,2581.98,660731,209571,85709
100,120,01,1,etx-pfi-re-qo-hc__1011011,0.407080,2950.84,997402,214061,87140
100,120,02,1,etx-pfi-re-qo-hc__1011011,0.484841,2682.43,492854,204436,99119
100,120,03,1,etx-pfi-re-qo-hc__1011011,0.262768,2920.64,934053,193673,50891
100,120,04,1,etx-pfi-re-qo-hc__1011011,0.366642,2975.55,924276,218319,80045
100,120,05,1,etx-pfi-re-qo-hc__1011011,0.344953,2976.45,1276687,243804,84101
100,120,06,1,etx-pfi-re-qo-hc__1011011,0.319912,2196.95,676784,93929,30049
100,120,07,1,etx-pfi-re-qo-hc__1011011,0.438786,2558.25,754687,205989,90385
100,120,08,1,etx-pfi-re-qo-hc__1011011,0.182901,2182.01,824787,122323,22373
100,120,09,1,etx-pfi-re-qo-hc__1011011,0.422305,3139.11,920894,242320,102333
100,120,10,1,etx-pfi-re-qo-hc__1011011,0.448245,2870.04,660731,216045,96841
100,120,01,1,re-bdi-qo-hc__0001111,0.384757,2681.67,997402,222621,85655
100,120,02,1,re-bdi-qo-hc__0001111,0.468984,2888.06,492854,211227,99062
100,120,03,1,re-bdi-qo-hc__0001111,0.257322,2986.82,934053,154332,39713
100,120,04,1,re-bdi-qo-hc__0001111,0.371988,2836.80,924276,216542,80551
100,120,05,1,re-bdi-qo-hc__0001111,0.348867,3489.11,1276687,248103,86555
100,120,06,1,re-bdi-qo-hc__0001111,0.236252,2810.11,676784,105654,24961
100,120,07,1,re-bdi-qo-hc__0001111,0.431181,2756.85,754687,208576,89934
100,120,08,1,re-bdi-qo-hc__0001111,0.231005,2077.33,953910,130166,30069
100,120,09,1,re-bdi-qo-hc__0001111,0.423820,3282.33,920894,240956,102122
100,120,10,1,re-bdi-qo-hc__0001111,0.459325,2997.45,660731,212440,97579
100,120,01,1,rssi-pfi-re-hc__0111001,0.421833,3065.13,997402,212295,89553
100,120,02,1,rssi-pfi-re-hc__0111001,0.479639,2735.00,492854,209293,100385
100,120,03,1,rssi-pfi-re-hc__0111001,0.309302,3487.20,934053,207884,64299
100,120,04,1,rssi-pfi-re-hc__0111001,0.380571,2751.26,924276,221199,84182
100,120,05,1,rssi-pfi-re-hc__0111001,0.344953,2976.45,1276687,243804,84101
100,120,06,1,rssi-pfi-re-hc__0111001,0.224312,2229.33,676784,98751,22151
100,120,07,1,rssi-pfi-re-hc__0111001,0.438786,2558.25,754687,205989,90385
100,120,08,1,rssi-pfi-re-hc__0111001,0.247037,2449.73,824787,135000,33350
100,120,09,1,rssi-pfi-re-hc__0111001,0.428487,3518.17,920894,240838,103196
100,120,10,1,rssi-pfi-re-hc__0111001,0.443418,2905.62,660731,215618,95609
100,120,01,1,rssi-pfi-re__0111000,0.421833,3065.13,997402,212295,89553
100,120,02,1,rssi-pfi-re__0111000,0.479639,2735.00,492854,209293,100385
100,120,03,1,rssi-pfi-re__0111000,0.305348,2935.31,934053,186702,57009
100,120,04,1,rssi-pfi-re__0111000,0.376252,2771.39,924276,221421,83310
100,120,05,1,rssi-pfi-re__0111000,0.344953,2976.45,1276687,243804,84101
100,120,06,1,rssi-pfi-re__0111000,0.193869,2200.17,676784,89354,17323
100,120,07,1,rssi-pfi-re__0111000,0.437388,2589.02,754687,209361,91572
100,120,08,1,rssi-pfi-re__0111000,0.170001,2049.66,824787,113917,19366
100,120,09,1,rssi-pfi-re__0111000,0.425223,3147.06,920894,245431,104363
100,120,10,1,rssi-pfi-re__0111000,0.442113,2995.49,660731,212803,94083
100,120,01,1,rssi-pfi__0110000,0.402061,2915.34,997402,221327,88987
100,120,02,1,rssi-pfi__0110000,0.479639,2735.00,492854,209293,100385
100,120,03,1,rssi-pfi__0110000,0.328337,3023.29,934053,204634,67189
100,120,04,1,rssi-pfi__0110000,0.383863,3003.75,924276,218289,83793
100,120,05,1,rssi-pfi__0110000,0.344953,2976.45,1276687,243804,84101
100,120,06,1,rssi-pfi__0110000,0.272291,2421.27,676784,95475,25997
100,120,07,1,rssi-pfi__0110000,0.438786,2558.25,754687,205989,90385
100,120,08,1,rssi-pfi__0110000,0.244474,2087.61,824787,145038,35458
100,120,09,1,rssi-pfi__0110000,0.423563,3330.06,920894,241952,102482
100,120,10,1,rssi-pfi__0110000,0.449025,2840.55,660731,216046,97010
