nodes,ppm,topo,seed,mask,prr,delay_ms,nlt_ms,gen,recv
100,120,01,1,bdi,0.366675,2916.85,997402,254629,93366
100,120,02,1,bdi,0.492139,3230.80,492854,202701,99757
100,120,03,1,bdi,0.296465,3189.08,940869,172978,51282
100,120,04,1,bdi,0.336543,3016.39,924276,193277,65046
100,120,05,1,bdi,0.361897,3019.13,1089243,243517,88128
100,120,06,1,bdi,0.308666,2909.32,676784,112714,34791
100,120,07,1,bdi,0.416467,2858.82,754687,206917,86174
100,120,08,1,bdi,0.227082,2195.26,967699,115465,26220
100,120,09,1,bdi,0.397577,3738.43,921224,244944,97384
100,120,10,1,bdi,0.420412,2881.49,660731,220748,92805
100,120,01,1,etx,0.391765,2934.48,997402,231192,90573
100,120,02,1,etx,0.501146,3241.98,492854,218994,109748
100,120,03,1,etx,0.304576,2957.49,951076,173441,52826
100,120,04,1,etx,0.356408,3201.71,930070,185585,66144
100,120,05,1,etx,0.341254,2947.67,1200741,225621,76994
100,120,06,1,etx,0.352287,1891.55,676784,95005,33469
100,120,07,1,etx,0.406566,2519.84,754687,201596,81962
100,120,08,1,etx,0.281176,2376.06,1137106,163001,45832
100,120,09,1,etx,0.416019,2922.67,920894,243578,101333
100,120,10,1,etx,0.445682,2763.92,660731,221880,98888
100,120,01,1,hc,0.363504,3422.63,1002878,232080,84362
100,120,02,1,hc,0.501961,2591.93,492854,206994,103903
100,120,03,1,hc,0.221186,2891.63,920040,166557,36840
100,120,04,1,hc,0.336295,3285.82,993081,172899,58145
100,120,05,1,hc,0.394060,3198.67,1051459,243732,96045
100,120,06,1,hc,0.196443,2530.90,676784,83994,16500
100,120,07,1,hc,0.419207,2577.60,763073,205333,86077
100,120,08,1,hc,0.311049,2866.31,1049063,157567,49011
100,120,09,1,hc,0.392621,3348.54,995651,239126,93886
100,120,10,1,hc,0.480302,3685.07,660731,197461,94841
100,120,01,1,pc,0.421833,3065.13,997402,212295,89553
100,120,02,1,pc,0.255869,4615.91,810912,195944,50136
100,120,03,1,pc,0.135852,4049.95,957229,134757,18307
100,120,04,1,pc,0.263730,4568.10,784904,193941,51148
100,120,05,1,pc,0.344953,2976.45,1276687,243804,84101
100,120,06,1,pc,0.244634,3163.78,655853,115642,28290
100,120,07,1,pc,0.307421,4600.23,770442,189512,58260
100,120,08,1,pc,0.260520,2079.09,824787,132984,34645
100,120,09,1,pc,0.429198,3251.74,920894,243666,104581
100,120,10,1,pc,0.449025,2840.55,660731,216046,97010
100,120,01,1,pfi,0.378822,3400.71,965119,236153,89460
100,120,02,1,pfi,0.459815,3146.12,492854,219845,101088
100,120,03,1,pfi,0.295906,2871.96,1256965,151504,44831
100,120,04,1,pfi,0.380090,3312.12,761083,197453,75050
100,120,05,1,pfi,0.380596,3053.98,1276687,246645,93872
100,120,06,1,pfi,0.233561,2294.45,541306,101434,23691
100,120,07,1,pfi,0.438786,2558.25,754687,205989,90385
100,120,08,1,pfi,0.221652,2642.64,1007137,151084,33488
100,120,09,1,pfi,0.412205,3163.46,920894,241688,99625
100,120,10,1,pfi,0.392386,2358.17,914708,200912,78835
100,120,01,1,qlr,0.380583,2791.34,796444,224934,85606
100,120,02,1,qlr,0.479639,2735.00,492854,209293,100385
100,120,03,1,qlr,0.194183,2616.86,941586,131520,25539
100,120,04,1,qlr,0.359293,3082.01,944332,195829,70360
100,120,05,1,qlr,0.354826,3336.40,729904,239196,84873
100,120,06,1,qlr,0.273277,2113.38,317151,85675,23413
100,120,07,1,qlr,0.414365,2795.13,935623,204863,84888
100,120,08,1,qlr,0.185327,2439.05,867024,141593,26241
100,120,09,1,qlr,0.399193,3726.35,794103,226825,90547
100,120,10,1,qlr,0.307882,2572.61,860304,167389,51536
100,120,01,1,qo,0.354703,2983.99,890309,219950,78017
100,120,02,1,qo,0.445120,3076.72,857686,223360,99422
100,120,03,1,qo,0.279835,2724.08,659517,184216,51550
100,120,04,1,qo,0.370427,2840.47,1257796,181974,67408
100,120,05,1,qo,0.362276,2903.46,499169,224235,81235
100,120,06,1,qo,0.371427,2178.06,541306,119617,44429
100,120,07,1,qo,0.435607,2748.92,765217,185991,81019
100,120,08,1,qo,0.165743,2747.25,1026275,136066,22552
100,120,09,1,qo,0.455738,3022.10,920894,237836,108391
100,120,10,1,qo,0.363631,2784.31,644236,204892,74505
100,120,01,1,re,0.412487,2915.47,997402,213563,88092
100,120,02,1,re,0.482243,2823.40,492854,205861,99275
100,120,03,1,re,0.294370,3154.48,934053,181968,53566
100,120,04,1,re,0.360551,2952.17,924276,219980,79314
100,120,05,1,re,0.347205,3174.10,1276687,233024,80907
100,120,06,1,re,0.312902,2275.23,676784,93518,29262
100,120,07,1,re,0.455898,3167.47,754687,198413,90456
100,120,08,1,re,0.181775,2658.00,1142355,116958,21260
100,120,09,1,re,0.429198,3251.74,920894,243666,104581
100,120,10,1,re,0.452142,2883.89,660731,216284,97791
100,120,01,1,rssi,0.394407,2588.13,1130385,238718,94152
100,120,02,1,rssi,0.479639,2735.00,492854,209293,100385
100,120,03,1,rssi,0.313845,3149.21,976117,183581,57616
100,120,04,1,rssi,0.383863,3003.75,924276,218289,83793
100,120,05,1,rssi,0.344953,2976.45,1276687,243804,84101
100,120,06,1,rssi,0.164026,2505.06,676784,91888,15072
100,120,07,1,rssi,0.438786,2558.25,754687,205989,90385
100,120,08,1,rssi,0.188385,2199.51,1012202,135276,25484
100,120,09,1,rssi,0.429198,3251.74,920894,243666,104581
100,120,10,1,rssi,0.449025,2840.55,660731,216046,97010
100,120,01,1,si,0.363370,2647.78,796444,237042,86134
100,120,02,1,si,0.433151,2806.61,857686,218529,94656
100,120,03,1,si,0.283222,2847.54,706770,129252,36607
100,120,04,1,si,0.341114,2645.26,1033638,175088,59725
100,120,05,1,si,0.362276,2903.46,499169,224235,81235
100,120,06,1,si,0.288767,2167.19,541306,107554,31058
100,120,07,1,si,0.430788,2781.45,765217,202016,87026
100,120,08,1,si,0.323418,2334.06,993034,153090,49512
100,120,09,1,si,0.429198,3251.74,920894,243666,104581
100,120,10,1,si,0.353512,2366.24,619977,164351,58100
100,120,01,1,str,0.344459,3173.39,796444,236719,81540
100,120,02,1,str,0.438830,3246.29,921582,227603,99879
100,120,03,1,str,0.209268,2884.92,859698,124620,26079
100,120,04,1,str,0.326617,2947.00,991093,185159,60476
100,120,05,1,str,0.330184,3966.60,589272,227761,75203
100,120,06,1,str,0.286790,2836.65,541306,109038,31271
100,120,07,1,str,0.440352,2684.70,765217,205413,90454
100,120,08,1,str,0.226339,2444.40,1096007,144677,32746
100,120,09,1,str,0.419437,3900.70,954246,233277,97845
100,120,10,1,str,0.356267,1960.76,644236,181636,64711
100,120,01,1,tv,0.366435,2828.72,796444,231375,84784
100,120,02,1,tv,0.431087,3406.84,857686,233243,100548
100,120,03,1,tv,0.347928,2637.39,706770,136333,47434
100,120,04,1,tv,0.341114,2645.26,1033638,175088,59725
100,120,05,1,tv,0.369196,3098.24,499169,226454,83606
100,120,06,1,tv,0.199136,1955.67,541306,98666,19648
100,120,07,1,tv,0.430788,2781.45,765217,202016,87026
100,120,08,1,tv,0.275882,2299.32,993034,146983,40550
100,120,09,1,tv,0.426843,3012.07,920894,245683,104868
100,120,10,1,tv,0.383446,2595.73,644236,222803,85433
100,120,01,1,wr,0.400907,2675.56,796444,208016,83395
100,120,02,1,wr,0.454780,3003.69,857686,218633,99430
100,120,03,1,wr,0.259894,2921.65,706770,138568,36013
100,120,04,1,wr,0.341114,2645.26,1033638,175088,59725
100,120,05,1,wr,0.367049,3199.74,499169,230157,84479
100,120,06,1,wr,0.236077,2052.81,541306,91165,21522
100,120,07,1,wr,0.430627,3142.66,765217,197888,85216
100,120,08,1,wr,0.225472,2859.48,1070445,148320,33442
100,120,09,1,wr,0.426339,3161.54,920894,244151,104091
100,120,10,1,wr,0.393126,2458.78,644236,219342,86229
